Тип занятия,Дата,Избранное,Название,Расстояние,Калории,Время,Средняя ЧП,Максимальная ЧП,Средняя частота,Максимальная частота вращения,Средний темп,Лучший темп,Подъем,Общий спуск,Средняя длина шага,Training Stress Score®,Шаги,Минимальная температура,Декомпрессия,Время лучшего круга,Количество кругов,Максимальная температура,Время в движении,Истекшее время,Минимальная высота,Максимальная высота
Поход,2025-11-04 09:32:54,false,"Катав-Ивановский район Поход","7.82","679","02:18:09","108","169","76","170","17:40","--","--","--","0.75","0.0","11,378","--","Нет","02:18:09","1","--","00:00:00","02:48:38","551","652"
Поход,2025-11-03 09:41:38,false,"Катав-Ивановский район Поход","15.67","2,101","06:32:33","122","183","56","191","25:04","--","--","--","0.71","0.0","24,706","--","Нет","06:32:33","1","--","00:00:00","06:32:33","804","1,580"
Поход,2025-07-12 13:41:28,false,"Саткинский район Поход","12.95","2,069","05:45:00","127","178","45","160","26:37","3:52","2,497","2,878","0.84","0.0","17,388","21.0","Нет","05:45:00","1","30.0","02:38:07","05:45:00","-500","954"
Поход,2025-06-21 13:00:27,false,"Саткинский район Поход","11.99","2,139","06:28:44","121","169","35","234","32:26","2:37","2,483","1,092","0.89","0.0","15,238","18.0","Нет","06:28:44","1","27.0","02:15:16","06:28:44","699","2,207"
Поход,2025-06-01 13:22:52,false,"Первая встреча с медведем ","1.16","248","00:39:53","112","137","47","160","34:18","8:19","295","194","0.62","0.0","1,886","30.0","Нет","00:39:53","1","33.0","00:16:45","00:39:53","255","466"
Поход,2025-05-31 12:53:39,false,"Мелеузовский район Поход","2.94","605","01:49:17","112","155","25","160","37:12","1:42","204","365","1.07","0.0","3,282","25.0","Нет","01:49:17","1","33.0","00:28:55","01:49:17","183","670"
Поход,2025-05-02 10:38:52,false,"Саракташский район Поход","16.10","1,363","06:50:13","94","94","59","228","25:29","0:53","1,385","1,598","0.66","0.0","24,476","16.0","Нет","06:50:13","1","29.0","03:26:06","08:25:46","41","739"
Поход,2025-05-01 12:20:58,false,"Акбулакский район Поход","7.86","986","05:31:16","82","126","33","160","42:12","11:14","131","194","0.71","0.0","11,688","20.0","Нет","05:31:16","1","32.0","01:59:54","05:31:16","162","218"
Поход,2025-04-06 09:03:31,false,"Златоуст Поход","10.93","1,108","04:02:42","106","150","66","159","22:13","11:54","127","440","0.69","0.0","--","18.0","Нет","04:02:42","1","30.0","02:42:50","04:02:42","471","835"
Поход,2025-04-05 09:32:03,false,"Златоуст Поход","19.26","2,174","05:07:44","125","171","89","239","15:59","8:22","1,050","788","0.70","0.0","28,188","18.0","Нет","05:07:44","1","26.0","04:16:12","05:07:44","431","819"
Поход,2025-03-29 14:54:03,false,"Уфа Поход","13.02","1,395","04:20:10","115","156","72","160","19:59","9:01","186","284","0.70","0.0","19,690","22.0","Нет","04:20:10","1","30.0","03:17:22","06:11:56","66","162"
Поход,2025-03-23 12:12:26,false,"Белорецкий район Поход","4.29","508","01:31:33","110","141","60","194","21:19","1:26","159","200","0.78","0.0","5,926","17.0","Нет","01:31:33","1","30.0","00:57:44","01:31:33","595","747"
Поход,2025-03-22 13:31:21,false,"Белорецкий район Поход","12.85","1,841","04:57:16","123","159","65","211","23:09","9:08","883","931","0.66","0.0","20,408","15.0","Нет","04:57:16","1","31.0","03:13:24","04:57:19","446","1,115"
Поход,2025-03-02 11:28:18,false,"Уфа Поход","5.76","511","01:25:25","112","138","96","124","14:49","11:10","97","179","0.70","0.0","8,632","17.0","Нет","01:25:25","1","28.0","01:19:52","01:25:25","170","289"
Поход,2024-12-07 10:36:05,false,"Белорецкий район Поход","7.70","1,206","03:43:58","110","162","47","235","29:05","5:19","394","476","0.73","0.0","11,888","9.0","Нет","03:43:58","1","19.0","01:42:39","03:43:58","573","952"
Поход,2024-09-15 12:33:05,false,"Ашинский район Поход","8.54","718","02:36:07","100","149","35","160","18:16","0:45","127","181","1.56","0.0","6,524","23.0","Нет","02:36:07","1","33.0","00:58:18","02:36:07","166","304"
Поход,2024-09-14 10:07:37,false,"Катав-Ивановский район Поход","19.25","3,148","09:07:01","119","169","49","212","28:26","11:01","898","827","0.71","0.0","30,310","14.0","Нет","09:07:01","1","30.0","04:45:04","09:07:01","810","1,625"
Поход,2024-07-21 10:22:40,false,"Софийские озера","19.89","3,418","10:24:50","132","171","46","207","31:23","0:38","2,660","2,539","0.69","0.0","34,186","19.0","Нет","10:24:50","1","31.0","04:08:40","11:07:11","1,468","2,686"
Поход,2024-07-20 14:42:19,false,"Зеленчукский район Поход","14.15","551","02:29:05","86","140","38","160","10:32","0:46","316","400","2.49","0.0","6,252","25.0","Нет","02:29:05","1","31.0","01:26:53","02:29:05","1,547","1,875"
Поход,2024-07-18 17:53:14,false,"Кисловодск Поход","7.63","673","02:18:41","103","146","72","160","18:11","5:02","475","703","0.77","0.0","10,760","26.0","Нет","02:18:41","1","28.0","01:41:12","02:18:41","616","984"
